timestamp,name,free_spaces,max_spaces,occupied_spaces
27102023-1720,Liebig-Center,237,250,13
15112023-1545,Liebig-Center,235,250,15
25102023-1950,Liebig-Center,243,250,7
06112023-1055,Liebig-Center,236,250,14
09112023-2030,Liebig-Center,243,250,7
09112023-1126,Liebig-Center,241,250,9
03112023-1014,Liebig-Center,241,250,9
25102023-1620,Liebig-Center,239,250,11
08112023-1820,Liebig-Center,240,250,10
29102023-1500,Liebig-Center,241,250,9
09112023-1651,Liebig-Center,243,250,7
31102023-1150,Liebig-Center,242,250,8
26102023-1935,Liebig-Center,245,250,5
27102023-1435,Liebig-Center,237,250,13
11112023-1429,Liebig-Center,240,250,10
20112023-1545,Liebig-Center,234,250,16
04112023-1311,Liebig-Center,240,250,10
11112023-1451,Liebig-Center,239,250,11
14112023-1515,Liebig-Center,230,250,20
16112023-1650,Liebig-Center,237,250,13
29102023-1845,Liebig-Center,241,250,9
12112023-1720,Liebig-Center,242,250,8
31102023-1740,Liebig-Center,243,250,7
26102023-1249,Liebig-Center,244,250,6
08112023-1544,Liebig-Center,234,250,16
29102023-1241,Liebig-Center,238,250,12
31102023-0906,Liebig-Center,244,250,6
17112023-1421,Liebig-Center,236,250,14
16112023-1000,Liebig-Center,240,250,10
20112023-1501,Liebig-Center,229,250,21
30102023-1105,Liebig-Center,242,250,8
06112023-1445,Liebig-Center,242,250,8
09112023-2034,Liebig-Center,242,250,8
25102023-1550,Liebig-Center,239,250,11
19112023-1315,Liebig-Center,239,250,11
11112023-1020,Liebig-Center,235,250,15
18112023-1415,Liebig-Center,233,250,17
14112023-1249,Liebig-Center,230,250,20
02112023-0920,Liebig-Center,233,250,17
29102023-2020,Liebig-Center,246,250,4
10112023-1950,Liebig-Center,243,250,7
11112023-1901,Liebig-Center,244,250,6
10112023-1150,Liebig-Center,236,250,14
20112023-1355,Liebig-Center,223,250,27
01112023-1049,Liebig-Center,236,250,14
15112023-0951,Liebig-Center,235,250,15
01112023-0920,Liebig-Center,241,250,9
15112023-2049,Liebig-Center,242,250,8
11112023-2046,Liebig-Center,243,250,7
04112023-1820,Liebig-Center,243,250,7
13112023-1734,Liebig-Center,243,250,7
