timestamp,name,free_spaces,max_spaces,occupied_spaces
01112023-1049,Selters Tor,4,158,154
15112023-0951,Selters Tor,36,158,122
01112023-0920,Selters Tor,38,158,120
15112023-2049,Selters Tor,148,158,10
11112023-2046,Selters Tor,139,158,19
04112023-1820,Selters Tor,131,158,27
13112023-1734,Selters Tor,90,158,68
02112023-1250,Selters Tor,10,158,148
06112023-1030,Selters Tor,42,158,116
25102023-1931,Selters Tor,136,158,22
20112023-1045,Selters Tor,13,158,145
31102023-2100,Selters Tor,147,158,11
16112023-1940,Selters Tor,133,158,25
06112023-1945,Selters Tor,137,158,21
17112023-1849,Selters Tor,136,158,22
03112023-1424,Selters Tor,72,158,86
03112023-1124,Selters Tor,25,158,133
16112023-2000,Selters Tor,131,158,27
30102023-1336,Selters Tor,47,158,111
26102023-1415,Selters Tor,58,158,100
25102023-1735,Selters Tor,99,158,59
01112023-1045,Selters Tor,6,158,152
31102023-1556,Selters Tor,40,158,118
13112023-1954,Selters Tor,141,158,17
04112023-1530,Selters Tor,80,158,78
28102023-1451,Selters Tor,95,158,63
29102023-0956,Selters Tor,146,158,12
04112023-1131,Selters Tor,112,158,46
29102023-1944,Selters Tor,147,158,11
02112023-1044,Selters Tor,0,0,0
30102023-1519,Selters Tor,63,158,95
29102023-1535,Selters Tor,139,158,19
06112023-1141,Selters Tor,31,158,127
16112023-1920,Selters Tor,132,158,26
04112023-1031,Selters Tor,125,158,33
31102023-1335,Selters Tor,52,158,106
19112023-2040,Selters Tor,148,158,10
31102023-1046,Selters Tor,36,158,122
18112023-1214,Selters Tor,85,158,73
28102023-1626,Selters Tor,86,158,72
20112023-1730,Selters Tor,87,158,71
09112023-1550,Selters Tor,38,158,120
08112023-1641,Selters Tor,78,158,80
27102023-0931,Selters Tor,107,158,51
07112023-1640,Selters Tor,60,158,98
03112023-1036,Selters Tor,36,158,122
08112023-1525,Selters Tor,77,158,81
10112023-1059,Selters Tor,40,158,118
27102023-2025,Selters Tor,126,158,32
26102023-0920,Selters Tor,84,158,74
26102023-1340,Selters Tor,48,158,110
05112023-1815,Selters Tor,140,158,18
12112023-1811,Selters Tor,148,158,10
15112023-1030,Selters Tor,20,158,138
30102023-1040,Selters Tor,30,158,128
16112023-1849,Selters Tor,125,158,33
17112023-0951,Selters Tor,59,158,99
05112023-1200,Selters Tor,88,158,70
14112023-2051,Selters Tor,142,158,16
31102023-2029,Selters Tor,147,158,11
01112023-1535,Selters Tor,54,158,104
11112023-1415,Selters Tor,96,158,62
01112023-2015,Selters Tor,149,158,9
04112023-1850,Selters Tor,137,158,21
26102023-1735,Selters Tor,90,158,68
26102023-1751,Selters Tor,97,158,61
08112023-1751,Selters Tor,97,158,61
06112023-1646,Selters Tor,65,158,93
11112023-1550,Selters Tor,91,158,67
28102023-1920,Selters Tor,134,158,24
05112023-1730,Selters Tor,142,158,16
10112023-2021,Selters Tor,124,158,34
27102023-2015,Selters Tor,125,158,33
19112023-1200,Selters Tor,147,158,11
30102023-1619,Selters Tor,63,158,95
12112023-1545,Selters Tor,135,158,23
12112023-1445,Selters Tor,143,158,15
07112023-1120,Selters Tor,27,158,131
05112023-1235,Selters Tor,82,158,76
20112023-1809,Selters Tor,100,158,58
13112023-1145,Selters Tor,15,158,143
11112023-1916,Selters Tor,143,158,15
26102023-1239,Selters Tor,43,158,115
02112023-1821,Selters Tor,112,158,46
06112023-1850,Selters Tor,124,158,34
17112023-1020,Selters Tor,52,158,106
10112023-1430,Selters Tor,79,158,79
06112023-1025,Selters Tor,43,158,115
25102023-1820,Selters Tor,117,158,41
15112023-1659,Selters Tor,83,158,75
03112023-1149,Selters Tor,28,158,130
06112023-1555,Selters Tor,45,158,113
06112023-1611,Selters Tor,50,158,108
19112023-1915,Selters Tor,129,158,29
26102023-1550,Selters Tor,66,158,92
26102023-1045,Selters Tor,52,158,106
12112023-0926,Selters Tor,149,158,9
04112023-1750,Selters Tor,122,158,36
06112023-1900,Selters Tor,127,158,31
02112023-1601,Selters Tor,48,158,110
04112023-2040,Selters Tor,143,158,15
27102023-1331,Selters Tor,89,158,69
12112023-1955,Selters Tor,147,158,11
25102023-1845,Selters Tor,123,158,35
18112023-1250,Selters Tor,87,158,71
19112023-1940,Selters Tor,138,158,20
29102023-1429,Selters Tor,147,158,11
12112023-0945,Selters Tor,149,158,9
20112023-1224,Selters Tor,21,158,137
04112023-1420,Selters Tor,88,158,70
11112023-1519,Selters Tor,91,158,67
29102023-1510,Selters Tor,144,158,14
04112023-2010,Selters Tor,139,158,19
31102023-1735,Selters Tor,82,158,76
15112023-1520,Selters Tor,48,158,110
08112023-0924,Selters Tor,47,158,111
26102023-1300,Selters Tor,37,158,121
18112023-1150,Selters Tor,87,158,71
11112023-1940,Selters Tor,142,158,16
10112023-2016,Selters Tor,125,158,33
14112023-1215,Selters Tor,15,158,143
01112023-2045,Selters Tor,148,158,10
17112023-1441,Selters Tor,69,158,89
01112023-1351,Selters Tor,35,158,123
13112023-1725,Selters Tor,81,158,77
03112023-2056,Selters Tor,145,158,13
20112023-1005,Selters Tor,23,158,135
