timestamp,name,free_spaces,max_spaces,occupied_spaces
11112023-1940,Karstadt,0,0,0
10112023-2016,Karstadt,0,0,0
14112023-1215,Karstadt,490,695,205
01112023-2045,Karstadt,0,0,0
17112023-1441,Karstadt,498,695,197
01112023-1351,Karstadt,437,695,258
13112023-1725,Karstadt,561,695,134
03112023-2056,Karstadt,0,0,0
20112023-1005,Karstadt,526,695,169
12112023-0956,Karstadt,0,0,0
16112023-1120,Karstadt,454,695,241
31102023-0936,Karstadt,600,695,95
14112023-1005,Karstadt,533,695,162
20112023-2024,Karstadt,0,0,0
20112023-1935,Karstadt,0,0,0
08112023-1019,Karstadt,499,695,196
25102023-1505,Karstadt,403,695,292
26102023-0931,Karstadt,531,695,164
27102023-1100,Karstadt,418,695,277
08112023-2050,Karstadt,0,0,0
30102023-1135,Karstadt,464,695,231
30102023-1945,Karstadt,0,0,0
03112023-1545,Karstadt,500,695,195
16112023-1050,Karstadt,466,695,229
05112023-1240,Karstadt,0,0,0
06112023-2020,Karstadt,0,0,0
14112023-2005,Karstadt,0,0,0
10112023-1800,Karstadt,574,695,121
26102023-2041,Karstadt,0,0,0
06112023-1045,Karstadt,488,695,207
31102023-1950,Karstadt,0,0,0
11112023-1130,Karstadt,417,695,278
08112023-2015,Karstadt,0,0,0
20112023-1240,Karstadt,435,695,260
02112023-1826,Karstadt,621,695,74
14112023-1816,Karstadt,594,695,101
11112023-1525,Karstadt,376,695,319
15112023-1936,Karstadt,0,0,0
02112023-1435,Karstadt,511,695,184
09112023-1240,Karstadt,448,695,247
18112023-1431,Karstadt,312,695,383
04112023-1235,Karstadt,371,695,324
06112023-1815,Karstadt,608,695,87
20112023-1414,Karstadt,457,695,238
13112023-1540,Karstadt,502,695,193
05112023-1950,Karstadt,0,0,0
19112023-2025,Karstadt,0,0,0
05112023-1650,Karstadt,0,0,0
01112023-2010,Karstadt,0,0,0
31102023-1650,Karstadt,563,695,132
05112023-1105,Karstadt,0,0,0
20112023-1840,Karstadt,585,695,110
08112023-1230,Karstadt,430,695,265
29102023-0906,Karstadt,0,0,0
11112023-2040,Karstadt,0,0,0
25102023-2046,Karstadt,0,0,0
11112023-1820,Karstadt,624,695,71
03112023-1145,Karstadt,486,695,209
25102023-1649,Karstadt,460,695,235
31102023-2040,Karstadt,0,0,0
16112023-1759,Karstadt,562,695,133
01112023-1530,Karstadt,459,695,236
02112023-1616,Karstadt,527,695,168
18112023-1355,Karstadt,326,695,369
26102023-1940,Karstadt,0,0,0
01112023-2050,Karstadt,0,0,0
05112023-1350,Karstadt,0,0,0
27102023-1930,Karstadt,0,0,0
31102023-1535,Karstadt,532,695,163
12112023-1150,Karstadt,0,0,0
26102023-1145,Karstadt,371,695,324
10112023-0945,Karstadt,568,695,127
30102023-1016,Karstadt,537,695,158
29102023-1414,Karstadt,0,0,0
07112023-0900,Karstadt,622,695,73
15112023-1835,Karstadt,610,695,85
19112023-1601,Karstadt,0,0,0
06112023-1145,Karstadt,494,695,201
17112023-2050,Karstadt,0,0,0
03112023-1525,Karstadt,508,695,187
31102023-2035,Karstadt,0,0,0
15112023-1150,Karstadt,437,695,258
18112023-0940,Karstadt,608,695,87
25102023-1641,Karstadt,446,695,249
06112023-1920,Karstadt,673,695,22
15112023-1750,Karstadt,567,695,128
17112023-2046,Karstadt,0,0,0
31102023-1105,Karstadt,496,695,199
26102023-1506,Karstadt,401,695,294
28102023-1830,Karstadt,0,0,0
14112023-0931,Karstadt,588,695,107
04112023-1200,Karstadt,383,695,312
11112023-2036,Karstadt,0,0,0
16112023-1744,Karstadt,553,695,142
14112023-1940,Karstadt,0,0,0
12112023-1655,Karstadt,0,0,0
17112023-1210,Karstadt,446,695,249
06112023-1650,Karstadt,537,695,158
15112023-1130,Karstadt,441,695,254
14112023-1835,Karstadt,611,695,84
09112023-1820,Karstadt,590,695,105
03112023-2101,Karstadt,0,0,0
09112023-2001,Karstadt,0,0,0
12112023-1225,Karstadt,0,0,0
10112023-2100,Karstadt,0,0,0
16112023-1441,Karstadt,483,695,212
07112023-1025,Karstadt,523,695,172
27102023-1200,Karstadt,366,695,329
31102023-0949,Karstadt,582,695,113
13112023-1750,Karstadt,576,695,119
02112023-1425,Karstadt,512,695,183
11112023-1635,Karstadt,425,695,270
08112023-1835,Karstadt,618,695,77
31102023-1131,Karstadt,483,695,212
02112023-0936,Karstadt,597,695,98
27102023-1945,Karstadt,0,0,0
26102023-0936,Karstadt,520,695,175
17112023-1626,Karstadt,507,695,188
10112023-1831,Karstadt,612,695,83
